"Victim.s.race","Victim.s.gender","Date.of.Incident..month.day.year.","City","State","year"
"White","Male","20/04/2018","Foresthill","CA","2018"
"Black","Male","18/04/2018","Fort Lauderdale","FL","2018"
"White","Male","18/04/2018","Douglasville","GA","2018"
"White","Male","18/04/2018","Springfield","MO","2018"
"Black","Male","18/04/2018","Kalamazoo","MI","2018"
"Native American","Male","18/04/2018","Salt Lake City","UT","2018"
"Black","Male","17/04/2018","Magna","UT","2018"
"Black","Male","17/04/2018","Austell","GA","2018"
"White","Male","17/04/2018","Tishomingo","OK","2018"
"White","Male","17/04/2018","Burkesville","KY","2018"
"Native American","Male","15/04/2018","Lodge Grass","MT","2018"
"Black","Male","14/04/2018","Phoenix","AZ","2018"
"Hispanic","Male","14/04/2018","Phoenix","AZ","2018"
"Hispanic","Male","14/04/2018","Millville","NJ","2018"
"White","Male","14/04/2018","Carrollton","GA","2018"
"White","Male","13/04/2018","Waco","TX","2018"
"White","Male","13/04/2018","Anaheim","CA","2018"
"White","Male","13/04/2018","Welby","CO","2018"
"White","Male","12/04/2018","Lake Elmo","MN","2018"
"Black","Male","12/04/2018","Atlanta","GA","2018"
"Black","Male","12/04/2018","West Helena","AR","2018"
"Black","Male","12/04/2018","Washington","PA","2018"
"Unknown race","Male","12/04/2018","Kiowa","CO","2018"
"Unknown race","Male","12/04/2018","Trinidad","CO","2018"
"Black","Male","11/04/2018","Gardena","CA","2018"
"White","Male","11/04/2018","Sparta","NC","2018"
"White","Male","11/04/2018","Natchitoches","LA","2018"
"White","Male","11/04/2018","Corfu","NY","2018"
"White","Female","11/04/2018","Natchitoches","LA","2018"
"Black","Male","10/04/2018","Los Angeles","CA","2018"
"Unknown race","Male","10/04/2018","Tucson","AZ","2018"
"White","Male","10/04/2018","Billings","MT","2018"
"White","Male","10/04/2018","Royal Oak","MI","2018"
"Pacific Islander","Male","09/04/2018","Troy","MI","2018"
"White","Male","09/04/2018","Los Angeles","CA","2018"
"White","Male","09/04/2018","Billings","MT","2018"
"White","Male","09/04/2018","Oaks","OK","2018"
"Hispanic","Male","09/04/2018","Laredo","TX","2018"
"Hispanic","Female","09/04/2018","Laredo","TX","2018"
"Hispanic","Male","08/04/2018","Cathedral City","CA","2018"
"Black","Male","08/04/2018","Danville","VA","2018"
"Black","Male","08/04/2018","West Valley City","UT","2018"
"White","Male","08/04/2018","Louisville","KY","2018"
"White","Male","07/04/2018","Oroville","CA","2018"
"White","Male","07/04/2018","Portland","OR","2018"
"White","Male","06/04/2018","Marshall","AR","2018"
"Unknown race","Male","06/04/2018","Marysville","CA","2018"
"Asian","Male","05/04/2018","Fremont","CA","2018"
"Hispanic","Male","05/04/2018","Las Vegas","NV","2018"
"White","Male","05/04/2018","Volant","PA","2018"
"Hispanic","Male","05/04/2018","South Bend","IN","2018"
"White","Male","05/04/2018","Reynoldsville","WV","2018"
"White","Male","05/04/2018","Rochester","NY","2018"
"Unknown race","Female","05/04/2018","Indian Head","MD","2018"
"Black","Male","05/04/2018","Barstow","CA","2018"
"White","Male","04/04/2018","Mesa","AZ","2018"
"White","Male","04/04/2018","Corpus Christi","TX","2018"
"White","Male","04/04/2018","Federal Way","WA","2018"
"White","Female","04/04/2018","Phoenix","AZ","2018"
"Black","Male","04/04/2018","Detroit","MI","2018"
"Unknown race","Male","04/04/2018","Molena","GA","2018"
"Black","Male","04/04/2018","Okmulgee","OK","2018"
"Black","Male","04/04/2018","Brooklyn","NY","2018"
"Hispanic","Male","03/04/2018","Petaluma","CA","2018"
"White","Male","03/04/2018","Huntsville","AL","2018"
"Hispanic","Male","01/04/2018","Brownsville","TX","2018"
"White","Male","01/04/2018","Covington","LA","2018"
"Hispanic","Male","01/04/2018","San Antonio","TX","2018"
"Black","Male","01/04/2018","Wyoming","MI","2018"
"Black","Male","01/04/2018","Tampa","FL","2018"
"Black","Male","01/04/2018","Greenville","NC","2018"
"Black","Male","01/04/2018","New Llano","LA","2018"
"White","Male","01/04/2018","Belton","MO","2018"
"White","Male","31/03/2018","Guthrie","OK","2018"
"Native American","Male","31/03/2018","Phoenix","AZ","2018"
"Hispanic","Male","31/03/2018","Reno","NV","2018"
"Black","Male","30/03/2018","Winston-Salem","NC","2018"
"White","Male","30/03/2018","Atwater","CA","2018"
"Black","Male","29/03/2018","Zion","IL","2018"
"White","Male","29/03/2018","Las Vegas","NV","2018"
"Black","Male","29/03/2018","Charleston","WV","2018"
"White","Male","29/03/2018","Pasadena","TX","2018"
"White","Male","29/03/2018","Clarksville","TN","2018"
"White","Male","28/03/2018","Allentown","PA","2018"
"White","Male","28/03/2018","West Columbia","SC","2018"
"White","Male","28/03/2018","Stillwater","OK","2018"
"White","Male","28/03/2018","Elizabethtown","KY","2018"
"White","Male","28/03/2018","Surprise","AZ","2018"
"Unknown race","Male","28/03/2018","Sonoma","CA","2018"
"White","Male","28/03/2018","Sylacauga","AL","2018"
"Black","Male","27/03/2018","Sanford","NC","2018"
"Hispanic","Male","27/03/2018","Phoenix","AZ","2018"
"White","Male","27/03/2018","Gulf Breeze","FL","2018"
"White","Male","27/03/2018","Nampa","ID","2018"
"White","Female","27/03/2018","Montgomery","AL","2018"
"White","Male","26/03/2018","Big Stone Gap","VA","2018"
"Hispanic","Male","25/03/2018","Austin","TX","2018"
"White","Female","24/03/2018","Columbus","OH","2018"
"Native American","Male","24/03/2018","Anchorage","AK","2018"
"White","Male","24/03/2018","Nikolaevsk","AK","2018"
"Hispanic","Male","23/03/2018","Childress","TX","2018"
"White","Male","23/03/2018","Phoenix","AZ","2018"
"White","Male","23/03/2018","Abilene","TX","2018"
"Hispanic","Male","23/03/2018","Tucson","AZ","2018"
"Unknown race","Male","23/03/2018","Bogalusa","LA","2018"
"White","Male","23/03/2018","Flint","MI","2018"
"Unknown race","Male","23/03/2018","Scottsdale","AZ","2018"
"Black","Male","23/03/2018","Largo","FL","2018"
"Hispanic","Male","22/03/2018","Aurora","IL","2018"
"Black","Male","22/03/2018","Houston","TX","2018"
"Hispanic","Male","21/03/2018","Littlefield","TX","2018"
"Asian","Male","21/03/2018","San Francisco","CA","2018"
"White","Male","21/03/2018","Fernandina Beach","FL","2018"
"Native American","Male","21/03/2018","Owasso","OK","2018"
"White","Male","21/03/2018","Mannford","OK","2018"
"White","Male","20/03/2018","Winter Haven","FL","2018"
"White","Male","20/03/2018","Georgetown","KY","2018"
"White","Male","20/03/2018","Timberlake","NC","2018"
"White","Male","20/03/2018","Princeton","NJ","2018"
"Black","Male","19/03/2018","Owensboro","KY","2018"
"Black","Male","19/03/2018","Greenville","SC","2018"
"White","Male","19/03/2018","Norfork","AR","2018"
"Native American","Male","19/03/2018","Utica","KY","2018"
"Asian","Male","19/03/2018","Denver","CO","2018"
"Hispanic","Male","18/03/2018","South El Monte","CA","2018"
"Black","Male","18/03/2018","Sacramento","CA","2018"
"Unknown race","Male","18/03/2018","Lancaster","TX","2018"
"Hispanic","Male","17/03/2018","Valley Center","CA","2018"
"White","Male","16/03/2018","Jonesborough","TN","2018"
"White","Male","16/03/2018","Graham","WA","2018"
"Black","Male","16/03/2018","Clarksville","TN","2018"
"White","Male","16/03/2018","Burnsville","NC","2018"
"Unknown race","Male","16/03/2018","Spring","TX","2018"
"Black","Male","15/03/2018","Casa Grande","AZ","2018"
"Black","Male","14/03/2018","Baton Rouge","LA","2018"
"Unknown race","Male","14/03/2018","Parmelee","SD","2018"
"White","Male","14/03/2018","Keizer","OR","2018"
"White","Male","13/03/2018","Sandy","UT","2018"
"White","Male","12/03/2018","Midland","MI","2018"
"Black","Male","12/03/2018","Tulare","CA","2018"
"White","Male","12/03/2018","Colorado Springs","CO","2018"
"Black","Female","12/03/2018","Elgin","IL","2018"
"Black","Male","12/03/2018","Great Neck","NY","2018"
"White","Male","12/03/2018","Lexington","NC","2018"
"White","Male","12/03/2018","West Fargo","ND","2018"
"White","Male","11/03/2018","Oakland","CA","2018"
"White","Male","11/03/2018","Jackson","MI","2018"
"Hispanic","Male","11/03/2018","Midland","TX","2018"
"White","Male","11/03/2018","Fort Sumner","NM","2018"
"Black","Male","10/03/2018","Hillsboro","OR","2018"
"Hispanic","Male","10/03/2018","Fontana","CA","2018"
"Hispanic","Male","09/03/2018","Phoenix","AZ","2018"
"White","Female","09/03/2018","Tarpon Springs","FL","2018"
"White","Male","09/03/2018","Pottstown","PA","2018"
"Black","Male","08/03/2018","Fredericksburg","VA","2018"
"Native American","Male","08/03/2018","Pilot Station","AK","2018"
"Asian","Male","08/03/2018","Arlington","TX","2018"
"Unknown race","Male","08/03/2018","Riverside","CA","2018"
"Hispanic","Male","07/03/2018","Austin","TX","2018"
"White","Male","07/03/2018","Long Beach","CA","2018"
"White","Female","07/03/2018","San Antonio","TX","2018"
"Hispanic","Male","06/03/2018","San Francisco","CA","2018"
"Native American","Male","06/03/2018","Farmington","NM","2018"
"White","Male","06/03/2018","Terre Haute","IN","2018"
"Black","Male","06/03/2018","Clinton","MO","2018"
"White","Male","06/03/2018","Pueblo","CO","2018"
"White","Male","06/03/2018","Shelbyville","TX","2018"
"White","Male","06/03/2018","North Manchester","IN","2018"
"Black","Male","05/03/2018","Brooklyn","NY","2018"
"White","Male","05/03/2018","Sandpoint","ID","2018"
"White","Male","05/03/2018","Oil Springs","KY","2018"
"White","Male","05/03/2018","Lakeland","FL","2018"
"White","Male","05/03/2018","Fairhope","AL","2018"
"Black","Male","05/03/2018","Kansas City","MO","2018"
"White","Male","05/03/2018","Temple","GA","2018"
"Hispanic","Male","04/03/2018","Elkins Park","PA","2018"
"Black","Male","03/03/2018","Gulfport","MS","2018"
"Unknown race","Male","03/03/2018","Centerview","MO","2018"
"Hispanic","Female","03/03/2018","Tucson","AZ","2018"
"White","Male","02/03/2018","Mesa","AZ","2018"
"White","Male","02/03/2018","Glendale","AZ","2018"
"White","Male","02/03/2018","Scottsdale","AZ","2018"
"Hispanic","Male","02/03/2018","Levittown","PA","2018"
"Unknown race","Male","02/03/2018","Santa Ana","CA","2018"
"White","Male","02/03/2018","Quitman","GA","2018"
"Black","Male","02/03/2018","Clarkesville","TX","2018"
"Black","Male","01/03/2018","Sandston","VA","2018"
"Hispanic","Male","01/03/2018","Tucson","AZ","2018"
"Black","Male","28/02/2018","Orlando","FL","2018"
"Hispanic","Male","28/02/2018","Alamosa","CO","2018"
"White","Male","27/02/2018","Chester","SC","2018"
"Black","Male","27/02/2018","Dallas","TX","2018"
"White","Male","27/02/2018","Coeur d'Alene","ID","2018"
"White","Male","26/02/2018","Panorama City","CA","2018"
"White","Male","26/02/2018","Wamego","KS","2018"
"White","Male","26/02/2018","Tiro","OH","2018"
"White","Male","26/02/2018","Gilbert","AZ","2018"
"Black","Male","26/02/2018","St. Louis","MO","2018"
"White","Male","26/02/2018","Brunswick","GA","2018"
"Black","Male","25/02/2018","Oklahoma City","OK","2018"
"White","Male","25/02/2018","Casper","WY","2018"
"Hispanic","Male","25/02/2018","Los Angeles","CA","2018"
"Hispanic","Male","25/02/2018","Gilroy","CA","2018"
"White","Male","24/02/2018","Morgantown","WV","2018"
"White","Male","23/02/2018","Evansville","IN","2018"
"Black","Male","23/02/2018","Dumfries","VA","2018"
"Black","Male","22/02/2018","Church Hill","TN","2018"
"White","Male","22/02/2018","Phoenix","AZ","2018"
"White","Male","22/02/2018","Greensburg","PA","2018"
"Black","Male","21/02/2018","Montgomery","AL","2018"
"White","Male","21/02/2018","Woodworth","ND","2018"
"Black","Male","21/02/2018","Fort Washington","MD","2018"
"Black","Male","21/02/2018","Jackson","MS","2018"
"Black","Male","21/02/2018","Phoenix","AZ","2018"
"Black","Male","21/02/2018","Stratford","TX","2018"
"Hispanic","Male","19/02/2018","Austin","TX","2018"
"Unknown race","Male","19/02/2018","Seattle","WA","2018"
"Black","Male","19/02/2018","Denton","TX","2018"
"Unknown race","Male","19/02/2018","Meridian","MS","2018"
"Hispanic","Male","18/02/2018","Converse","TX","2018"
"Hispanic","Male","18/02/2018","Scottsdale","AZ","2018"
"White","Male","17/02/2018","Fair Oaks","OK","2018"
"Black","Male","17/02/2018","Inwood","WV","2018"
"Black","Male","17/02/2018","Seabrook","SC","2018"
"Hispanic","Male","17/02/2018","Las Cruces","NM","2018"
"White","Male","17/02/2018","Hernando","FL","2018"
"White","Male","16/02/2018","Cocoa Beach","FL","2018"
"White","Male","16/02/2018","Charleston","WV","2018"
"White","Male","15/02/2018","Raymore","MO","2018"
"Hispanic","Male","15/02/2018","Mesa","AZ","2018"
"White","Male","15/02/2018","Henderson","NC","2018"
"Native American","Male","15/02/2018","Montezuma Creek","UT","2018"
"White","Male","14/02/2018","Urbana","IN","2018"
"Black","Male","14/02/2018","Merrillville","IN","2018"
"White","Male","14/02/2018","Mobile","AL","2018"
"Unknown race","Male","14/02/2018","Fort Worth","TX","2018"
"White","Female","13/02/2018","Willits","CA","2018"
"Asian","Male","13/02/2018","Denver","CO","2018"
"Unknown race","Male","13/02/2018","Grant","OK","2018"
"Black","Male","13/02/2018","Vallejo","CA","2018"
"White","Male","12/02/2018","Miami","FL","2018"
"Black","Male","12/02/2018","Homestead","FL","2018"
"Black","Male","11/02/2018","Pittsburgh","PA","2018"
"White","Male","11/02/2018","Bolton","VT","2018"
"Black","Male","10/02/2018","Tampa","FL","2018"
"White","Male","10/02/2018","Kingman","AZ","2018"
"White","Male","10/02/2018","Tallahassee","FL","2018"
"White","Male","10/02/2018","Columbus","OH","2018"
"White","Male","10/02/2018","Aurora","CO","2018"
"Hispanic","Male","09/02/2018","Grant-Valkaria","FL","2018"
"Black","Male","09/02/2018","Locust Grove","GA","2018"
"White","Male","09/02/2018","Flagstaff","AZ","2018"
"Black","Male","09/02/2018","Atlanta","GA","2018"
"White","Male","08/02/2018","Antioch","CA","2018"
"Unknown race","Male","07/02/2018","Laguna Woods","CA","2018"
"White","Male","07/02/2018","Lantana","FL","2018"
"Hispanic","Male","06/02/2018","Denver","CO","2018"
"White","Male","06/02/2018","St. Augustine","FL","2018"
"Hispanic","Male","06/02/2018","Los Angeles","CA","2018"
"Hispanic","Male","05/02/2018","Colorado Springs","CO","2018"
"White","Male","05/02/2018","Nice","CA","2018"
"White","Male","05/02/2018","Gulfport","MS","2018"
"Black","Male","04/02/2018","Los Angeles","CA","2018"
"Unknown race","Male","03/02/2018","Lake Los Angeles","CA","2018"
"White","Male","03/02/2018","Reading","MA","2018"
"White","Male","02/02/2018","Charlotte","NC","2018"
"Unknown race","Male","02/02/2018","Winters","TX","2018"
"Black","Male","02/02/2018","Atlanta","GA","2018"
"White","Male","01/02/2018","East Helena","MT","2018"
"White","Male","01/02/2018","Clayton","GA","2018"
"White","Male","01/02/2018","Louisville","KY","2018"
"Black","Male","01/02/2018","Peoria","IL","2018"
"Black","Male","01/02/2018","Houston","TX","2018"
"Unknown race","Male","01/02/2018","Louisville","KY","2018"
"White","Male","01/02/2018","Oklahoma City","OK","2018"
"White","Male","01/02/2018","Piketon","OH","2018"
"Black","Male","01/02/2018","Harrisburg","PA","2018"
"Hispanic","Male","31/01/2018","St. James","MN","2018"
"Hispanic","Male","31/01/2018","Arvada","CO","2018"
"White","Male","30/01/2018","Tecumseh","OK","2018"
"Hispanic","Male","29/01/2018","Houston","TX","2018"
"Black","Male","29/01/2018","Bronx","NY","2018"
"Black","Male","29/01/2018","Philadelphia","PA","2018"
"Black","Male","28/01/2018","Baltimore","MD","2018"
"White","Male","28/01/2018","Conroe","TX","2018"
"White","Male","28/01/2018","Chamblee","GA","2018"
"White","Male","28/01/2018","London","KY","2018"
"White","Female","27/01/2018","San Antonio","TX","2018"
"Black","Male","27/01/2018","Walton","IN","2018"
"Black","Female","27/01/2018","Jackson","MS","2018"
"White","Male","26/01/2018","Austin","TX","2018"
"Hispanic","Male","26/01/2018","Las Vegas","NV","2018"
"White","Male","26/01/2018","Alton","IL","2018"
"White","Male","26/01/2018","Little Orleans","MD","2018"
"Black","Male","26/01/2018","Rock Falls","IL","2018"
"Hispanic","Male","25/01/2018","San Antonio","TX","2018"
"White","Male","25/01/2018","Sugar Hill","GA","2018"
"Hispanic","Male","25/01/2018","Houston","TX","2018"
"White","Male","24/01/2018","Union City","MI","2018"
"Unknown race","Male","24/01/2018","Gadsden","AL","2018"
"Hispanic","Male","24/01/2018","Sparks","NV","2018"
"Hispanic","Male","23/01/2018","League City","TX","2018"
"Black","Male","23/01/2018","Savannah","GA","2018"
"Black","Male","23/01/2018","Bradenton","FL","2018"
"White","Male","23/01/2018","Idaho Falls","ID","2018"
"White","Male","22/01/2018","Battle Creek","MI","2018"
"Hispanic","Male","22/01/2018","Pueblo","CO","2018"
"White","Male","22/01/2018","Tulsa","OK","2018"
"White","Male","22/01/2018","Sallisaw","OK","2018"
"White","Male","22/01/2018","Oneida","NY","2018"
"Unknown race","Male","22/01/2018","Crescent City","CA","2018"
"White","Male","22/01/2018","Millville","NJ","2018"
"Hispanic","Male","22/01/2018","Irving","TX","2018"
"White","Male","21/01/2018","Everett","WA","2018"
"White","Male","21/01/2018","Rockledge","FL","2018"
"White","Male","20/01/2018","Fairmont","MN","2018"
"White","Male","20/01/2018","Dunwoody","GA","2018"
"White","Male","20/01/2018","Lake Wales","FL","2018"
"Black","Male","20/01/2018","Hallsville","TX","2018"
"White","Male","20/01/2018","Overland Park","KS","2018"
"Black","Male","18/01/2018","Harrisburg","PA","2018"
"White","Male","18/01/2018","Boonville","IN","2018"
"Hispanic","Male","17/01/2018","Phoenix","AZ","2018"
"Black","Male","17/01/2018","Racine","WI","2018"
"Black","Male","17/01/2018","Floyd","IA","2018"
"Black","Male","17/01/2018","Memphis","TN","2018"
"White","Male","17/01/2018","Columbus","OH","2018"
"Black","Female","17/01/2018","Bartlesville","OK","2018"
"White","Male","16/01/2018","Montpelier","VT","2018"
"White","Female","16/01/2018","Gooding","ID","2018"
"White","Male","16/01/2018","Denver","CO","2018"
"Black","Male","16/01/2018","Daly City","CA","2018"
"Hispanic","Male","16/01/2018","Bedford","TX","2018"
"Black","Male","15/01/2018","Charlotte","NC","2018"
